natural_language_query,sql_query
Add a review for movie ID 530 from user ID 3834 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (530, 3834, 7, 'A compelling story! 2013');"
"Add a new movie: 'The Next Big Thing 55', released in 2022, directed by director ID 5, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 55', 2022, 5, 'Miramax');"
Add a review for movie ID 179 from user ID 2480 with a rating of 4.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (179, 2480, 4, 'A compelling story! 2024');"
"Add a new movie: 'The Next Big Thing 37', released in 2021, directed by director ID 1, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 37', 2021, 1, 'Neon');"
"Add a new movie: 'The Next Big Thing 94', released in 2019, directed by director ID 7, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 94', 2019, 7, 'Searchlight Pictures');"
"Add a new movie: 'The Next Big Thing 65', released in 2020, directed by director ID 6, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 65', 2020, 6, 'Universal Pictures');"
Delete the movie with ID 132.,DELETE FROM Movies WHERE movie_id = 132;
Delete the movie with ID 217.,DELETE FROM Movies WHERE movie_id = 217;
"Add a new movie: 'The Next Big Thing 83', released in 2011, directed by director ID 4, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 83', 2011, 4, 'Searchlight Pictures');"
"Add a new movie: 'The Next Big Thing 93', released in 2021, directed by director ID 6, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 93', 2021, 6, 'Miramax');"
Delete the movie with ID 191.,DELETE FROM Movies WHERE movie_id = 191;
"Add a new movie: 'The Next Big Thing 50', released in 2024, directed by director ID 6, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 50', 2024, 6, 'Miramax');"
"Add a new movie: 'The Next Big Thing 2', released in 2004, directed by director ID 2, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 2', 2004, 2, 'Neon');"
Add a review for movie ID 354 from user ID 4458 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (354, 4458, 2, 'A compelling story! 1991');"
Add a review for movie ID 776 from user ID 4872 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (776, 4872, 8, 'A compelling story! 2011');"
Delete the movie with ID 152.,DELETE FROM Movies WHERE movie_id = 152;
Delete the movie with ID 247.,DELETE FROM Movies WHERE movie_id = 247;
"Add a new movie: 'The Next Big Thing 60', released in 2005, directed by director ID 3, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 60', 2005, 3, 'Miramax');"
Delete the movie with ID 260.,DELETE FROM Movies WHERE movie_id = 260;
Add a review for movie ID 923 from user ID 2125 with a rating of 9.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (923, 2125, 9, 'A compelling story! 2001');"
Add a review for movie ID 324 from user ID 390 with a rating of 10.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (324, 390, 10, 'A compelling story! 2009');"
Add a review for movie ID 697 from user ID 3793 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (697, 3793, 8, 'A compelling story! 2022');"
Delete the movie with ID 938.,DELETE FROM Movies WHERE movie_id = 938;
"Add a new movie: 'The Next Big Thing 39', released in 2002, directed by director ID 4, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 39', 2002, 4, 'A24');"
Delete the movie with ID 448.,DELETE FROM Movies WHERE movie_id = 448;
"Add a new movie: 'The Next Big Thing 46', released in 2012, directed by director ID 6, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 46', 2012, 6, 'Miramax');"
Add a review for movie ID 488 from user ID 3238 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (488, 3238, 8, 'A compelling story! 2011');"
"Add a new movie: 'The Next Big Thing 26', released in 1990, directed by director ID 7, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 26', 1990, 7, 'Neon');"
Delete the movie with ID 805.,DELETE FROM Movies WHERE movie_id = 805;
Add a review for movie ID 413 from user ID 3377 with a rating of 1.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (413, 3377, 1, 'A compelling story! 1995');"
"Add a new movie: 'The Next Big Thing 16', released in 2021, directed by director ID 5, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 16', 2021, 5, 'Warner Bros.');"
"Add a new movie: 'The Next Big Thing 99', released in 2021, directed by director ID 2, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 99', 2021, 2, 'Neon');"
Add a review for movie ID 838 from user ID 1184 with a rating of 5.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (838, 1184, 5, 'A compelling story! 2015');"
Add a review for movie ID 60 from user ID 2354 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (60, 2354, 3, 'A compelling story! 2023');"
"Add a new movie: 'The Next Big Thing 66', released in 2015, directed by director ID 5, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 66', 2015, 5, 'Netflix');"
"Add a new movie: 'The Next Big Thing 64', released in 1984, directed by director ID 4, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 64', 1984, 4, 'Warner Bros.');"
Delete the movie with ID 34.,DELETE FROM Movies WHERE movie_id = 34;
"Add a new movie: 'The Next Big Thing 5', released in 2005, directed by director ID 3, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 5', 2005, 3, 'Warner Bros.');"
Add a review for movie ID 803 from user ID 1250 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (803, 1250, 8, 'A compelling story! 1992');"
Delete the movie with ID 530.,DELETE FROM Movies WHERE movie_id = 530;
Add a review for movie ID 783 from user ID 4991 with a rating of 10.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (783, 4991, 10, 'A compelling story! 2002');"
"Add a new movie: 'The Next Big Thing 2', released in 2008, directed by director ID 4, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 2', 2008, 4, 'Miramax');"
"Add a new movie: 'The Next Big Thing 74', released in 1980, directed by director ID 6, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 74', 1980, 6, 'Miramax');"
"Add a new movie: 'The Next Big Thing 27', released in 2001, directed by director ID 2, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 27', 2001, 2, 'Netflix');"
Delete the movie with ID 398.,DELETE FROM Movies WHERE movie_id = 398;
Add a review for movie ID 350 from user ID 1603 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (350, 1603, 7, 'A compelling story! 2010');"
"Add a new movie: 'The Next Big Thing 12', released in 2022, directed by director ID 2, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 12', 2022, 2, 'Netflix');"
Delete the movie with ID 778.,DELETE FROM Movies WHERE movie_id = 778;
"Add a new movie: 'The Next Big Thing 30', released in 2002, directed by director ID 3, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 30', 2002, 3, 'Universal Pictures');"
Add a review for movie ID 216 from user ID 4554 with a rating of 10.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (216, 4554, 10, 'A compelling story! 1988');"
"Add a new movie: 'The Next Big Thing 3', released in 1999, directed by director ID 7, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 3', 1999, 7, 'Miramax');"
Delete the movie with ID 501.,DELETE FROM Movies WHERE movie_id = 501;
Delete the movie with ID 227.,DELETE FROM Movies WHERE movie_id = 227;
Delete the movie with ID 918.,DELETE FROM Movies WHERE movie_id = 918;
Delete the movie with ID 945.,DELETE FROM Movies WHERE movie_id = 945;
Add a review for movie ID 171 from user ID 4028 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (171, 4028, 2, 'A compelling story! 2013');"
Add a review for movie ID 623 from user ID 4591 with a rating of 10.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (623, 4591, 10, 'A compelling story! 2003');"
Add a review for movie ID 853 from user ID 695 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (853, 695, 8, 'A compelling story! 2019');"
Add a review for movie ID 920 from user ID 1944 with a rating of 5.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (920, 1944, 5, 'A compelling story! 2007');"
Delete the movie with ID 911.,DELETE FROM Movies WHERE movie_id = 911;
Add a review for movie ID 258 from user ID 2797 with a rating of 4.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (258, 2797, 4, 'A compelling story! 1986');"
"Add a new movie: 'The Next Big Thing 48', released in 2018, directed by director ID 7, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 48', 2018, 7, 'A24');"
"Add a new movie: 'The Next Big Thing 45', released in 2014, directed by director ID 4, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 45', 2014, 4, 'A24');"
"Add a new movie: 'The Next Big Thing 88', released in 1992, directed by director ID 4, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 88', 1992, 4, 'Neon');"
Add a review for movie ID 195 from user ID 503 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (195, 503, 7, 'A compelling story! 2014');"
"Add a new movie: 'The Next Big Thing 72', released in 2024, directed by director ID 5, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 72', 2024, 5, 'Netflix');"
"Add a new movie: 'The Next Big Thing 48', released in 1989, directed by director ID 3, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 48', 1989, 3, 'Miramax');"
"Add a new movie: 'The Next Big Thing 60', released in 2021, directed by director ID 7, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 60', 2021, 7, 'Universal Pictures');"
"Add a new movie: 'The Next Big Thing 24', released in 2014, directed by director ID 4, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 24', 2014, 4, 'Universal Pictures');"
"Add a new movie: 'The Next Big Thing 9', released in 1983, directed by director ID 4, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 9', 1983, 4, 'Warner Bros.');"
"Add a new movie: 'The Next Big Thing 16', released in 2001, directed by director ID 2, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 16', 2001, 2, 'Warner Bros.');"
Delete the movie with ID 767.,DELETE FROM Movies WHERE movie_id = 767;
Add a review for movie ID 617 from user ID 3810 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (617, 3810, 8, 'A compelling story! 2023');"
"Add a new movie: 'The Next Big Thing 45', released in 2015, directed by director ID 5, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 45', 2015, 5, 'Universal Pictures');"
Add a review for movie ID 886 from user ID 354 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (886, 354, 3, 'A compelling story! 2002');"
"Add a new movie: 'The Next Big Thing 68', released in 2023, directed by director ID 7, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 68', 2023, 7, 'Neon');"
Delete the movie with ID 676.,DELETE FROM Movies WHERE movie_id = 676;
"Add a new movie: 'The Next Big Thing 30', released in 2008, directed by director ID 2, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 30', 2008, 2, 'Miramax');"
"Add a new movie: 'The Next Big Thing 59', released in 1991, directed by director ID 7, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 59', 1991, 7, 'Searchlight Pictures');"
Add a review for movie ID 2 from user ID 1129 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (2, 1129, 2, 'A compelling story! 2000');"
"Add a new movie: 'The Next Big Thing 81', released in 2019, directed by director ID 2, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 81', 2019, 2, 'Searchlight Pictures');"
"Add a new movie: 'The Next Big Thing 42', released in 2014, directed by director ID 3, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 42', 2014, 3, 'Neon');"
"Add a new movie: 'The Next Big Thing 61', released in 2022, directed by director ID 3, and produced by 'Neon'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 61', 2022, 3, 'Neon');"
"Add a new movie: 'The Next Big Thing 21', released in 2013, directed by director ID 6, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 21', 2013, 6, 'Searchlight Pictures');"
"Add a new movie: 'The Next Big Thing 33', released in 1999, directed by director ID 2, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 33', 1999, 2, 'Universal Pictures');"
"Add a new movie: 'The Next Big Thing 34', released in 1993, directed by director ID 2, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 34', 1993, 2, 'Netflix');"
Delete the movie with ID 597.,DELETE FROM Movies WHERE movie_id = 597;
Add a review for movie ID 603 from user ID 3680 with a rating of 5.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (603, 3680, 5, 'A compelling story! 1991');"
"Add a new movie: 'The Next Big Thing 64', released in 1992, directed by director ID 6, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 64', 1992, 6, 'Universal Pictures');"
Add a review for movie ID 394 from user ID 1900 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (394, 1900, 8, 'A compelling story! 2009');"
Delete the movie with ID 936.,DELETE FROM Movies WHERE movie_id = 936;
Add a review for movie ID 372 from user ID 894 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (372, 894, 2, 'A compelling story! 1985');"
Add a review for movie ID 677 from user ID 3837 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (677, 3837, 7, 'A compelling story! 1999');"
"Add a new movie: 'The Next Big Thing 28', released in 2023, directed by director ID 7, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 28', 2023, 7, 'Netflix');"
"Add a new movie: 'The Next Big Thing 40', released in 2005, directed by director ID 3, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 40', 2005, 3, 'Warner Bros.');"
"Add a new movie: 'The Next Big Thing 55', released in 1994, directed by director ID 5, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 55', 1994, 5, 'A24');"
Delete the movie with ID 201.,DELETE FROM Movies WHERE movie_id = 201;
Add a review for movie ID 589 from user ID 2344 with a rating of 5.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (589, 2344, 5, 'A compelling story! 2014');"
Add a review for movie ID 451 from user ID 3524 with a rating of 6.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (451, 3524, 6, 'A compelling story! 1990');"
"Add a new movie: 'The Next Big Thing 27', released in 2024, directed by director ID 4, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 27', 2024, 4, 'Universal Pictures');"
Delete the movie with ID 807.,DELETE FROM Movies WHERE movie_id = 807;
"Add a new movie: 'The Next Big Thing 94', released in 2002, directed by director ID 3, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 94', 2002, 3, 'Netflix');"
Delete the movie with ID 960.,DELETE FROM Movies WHERE movie_id = 960;
"Add a new movie: 'The Next Big Thing 62', released in 1981, directed by director ID 3, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 62', 1981, 3, 'Warner Bros.');"
Delete the movie with ID 311.,DELETE FROM Movies WHERE movie_id = 311;
Delete the movie with ID 144.,DELETE FROM Movies WHERE movie_id = 144;
Add a review for movie ID 770 from user ID 2151 with a rating of 5.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (770, 2151, 5, 'A compelling story! 2012');"
Add a review for movie ID 903 from user ID 4207 with a rating of 1.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (903, 4207, 1, 'A compelling story! 1995');"
Add a review for movie ID 508 from user ID 4565 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (508, 4565, 8, 'A compelling story! 2018');"
Delete the movie with ID 623.,DELETE FROM Movies WHERE movie_id = 623;
Add a review for movie ID 302 from user ID 697 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (302, 697, 3, 'A compelling story! 1983');"
Delete the movie with ID 209.,DELETE FROM Movies WHERE movie_id = 209;
Add a review for movie ID 73 from user ID 4081 with a rating of 4.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (73, 4081, 4, 'A compelling story! 1996');"
"Add a new movie: 'The Next Big Thing 91', released in 2001, directed by director ID 6, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 91', 2001, 6, 'A24');"
Add a review for movie ID 280 from user ID 3329 with a rating of 6.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (280, 3329, 6, 'A compelling story! 1997');"
Delete the movie with ID 12.,DELETE FROM Movies WHERE movie_id = 12;
Add a review for movie ID 618 from user ID 3961 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (618, 3961, 7, 'A compelling story! 2003');"
"Add a new movie: 'The Next Big Thing 85', released in 1980, directed by director ID 6, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 85', 1980, 6, 'A24');"
"Add a new movie: 'The Next Big Thing 5', released in 1981, directed by director ID 2, and produced by 'Miramax'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 5', 1981, 2, 'Miramax');"
"Add a new movie: 'The Next Big Thing 27', released in 2010, directed by director ID 5, and produced by 'Universal Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 27', 2010, 5, 'Universal Pictures');"
"Add a new movie: 'The Next Big Thing 96', released in 1990, directed by director ID 5, and produced by 'Warner Bros.'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 96', 1990, 5, 'Warner Bros.');"
"Add a new movie: 'The Next Big Thing 71', released in 2011, directed by director ID 4, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 71', 2011, 4, 'Searchlight Pictures');"
Delete the movie with ID 125.,DELETE FROM Movies WHERE movie_id = 125;
Add a review for movie ID 694 from user ID 4987 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (694, 4987, 2, 'A compelling story! 2001');"
Delete the movie with ID 665.,DELETE FROM Movies WHERE movie_id = 665;
Add a review for movie ID 350 from user ID 1753 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (350, 1753, 2, 'A compelling story! 2006');"
"Add a new movie: 'The Next Big Thing 75', released in 1999, directed by director ID 6, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 75', 1999, 6, 'Searchlight Pictures');"
Add a review for movie ID 853 from user ID 3084 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (853, 3084, 7, 'A compelling story! 2019');"
"Add a new movie: 'The Next Big Thing 25', released in 2015, directed by director ID 4, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 25', 2015, 4, 'A24');"
Add a review for movie ID 75 from user ID 1249 with a rating of 1.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (75, 1249, 1, 'A compelling story! 2015');"
Add a review for movie ID 150 from user ID 1331 with a rating of 1.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (150, 1331, 1, 'A compelling story! 2014');"
Add a review for movie ID 182 from user ID 3296 with a rating of 9.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (182, 3296, 9, 'A compelling story! 2003');"
Add a review for movie ID 474 from user ID 2373 with a rating of 10.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (474, 2373, 10, 'A compelling story! 2022');"
Delete the movie with ID 14.,DELETE FROM Movies WHERE movie_id = 14;
Delete the movie with ID 7.,DELETE FROM Movies WHERE movie_id = 7;
Add a review for movie ID 222 from user ID 1429 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (222, 1429, 2, 'A compelling story! 2000');"
Add a review for movie ID 310 from user ID 4871 with a rating of 6.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (310, 4871, 6, 'A compelling story! 1987');"
Delete the movie with ID 759.,DELETE FROM Movies WHERE movie_id = 759;
Delete the movie with ID 515.,DELETE FROM Movies WHERE movie_id = 515;
Delete the movie with ID 270.,DELETE FROM Movies WHERE movie_id = 270;
Add a review for movie ID 982 from user ID 1964 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (982, 1964, 7, 'A compelling story! 1981');"
Add a review for movie ID 343 from user ID 1729 with a rating of 1.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (343, 1729, 1, 'A compelling story! 2020');"
Delete the movie with ID 60.,DELETE FROM Movies WHERE movie_id = 60;
"Add a new movie: 'The Next Big Thing 59', released in 2013, directed by director ID 5, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 59', 2013, 5, 'Searchlight Pictures');"
Delete the movie with ID 722.,DELETE FROM Movies WHERE movie_id = 722;
Delete the movie with ID 537.,DELETE FROM Movies WHERE movie_id = 537;
"Add a new movie: 'The Next Big Thing 59', released in 1994, directed by director ID 3, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 59', 1994, 3, 'Searchlight Pictures');"
Add a review for movie ID 542 from user ID 297 with a rating of 5.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (542, 297, 5, 'A compelling story! 2001');"
"Add a new movie: 'The Next Big Thing 53', released in 1983, directed by director ID 4, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 53', 1983, 4, 'A24');"
"Add a new movie: 'The Next Big Thing 34', released in 2001, directed by director ID 5, and produced by 'Netflix'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 34', 2001, 5, 'Netflix');"
Add a review for movie ID 899 from user ID 3233 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (899, 3233, 3, 'A compelling story! 2004');"
Delete the movie with ID 486.,DELETE FROM Movies WHERE movie_id = 486;
Delete the movie with ID 463.,DELETE FROM Movies WHERE movie_id = 463;
Add a review for movie ID 288 from user ID 4900 with a rating of 4.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (288, 4900, 4, 'A compelling story! 2002');"
Delete the movie with ID 605.,DELETE FROM Movies WHERE movie_id = 605;
"Add a new movie: 'The Next Big Thing 6', released in 2011, directed by director ID 6, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 6', 2011, 6, 'Searchlight Pictures');"
Delete the movie with ID 252.,DELETE FROM Movies WHERE movie_id = 252;
Add a review for movie ID 629 from user ID 2834 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (629, 2834, 3, 'A compelling story! 1988');"
Add a review for movie ID 998 from user ID 1807 with a rating of 1.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (998, 1807, 1, 'A compelling story! 1982');"
Add a review for movie ID 755 from user ID 2310 with a rating of 7.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (755, 2310, 7, 'A compelling story! 2000');"
Add a review for movie ID 582 from user ID 2821 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (582, 2821, 3, 'A compelling story! 2013');"
Add a review for movie ID 679 from user ID 2821 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (679, 2821, 2, 'A compelling story! 1990');"
"Add a new movie: 'The Next Big Thing 45', released in 1991, directed by director ID 4, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 45', 1991, 4, 'Searchlight Pictures');"
Delete the movie with ID 992.,DELETE FROM Movies WHERE movie_id = 992;
"Add a new movie: 'The Next Big Thing 36', released in 1995, directed by director ID 2, and produced by 'A24'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 36', 1995, 2, 'A24');"
Add a review for movie ID 901 from user ID 1034 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (901, 1034, 3, 'A compelling story! 1983');"
"Add a new movie: 'The Next Big Thing 76', released in 1985, directed by director ID 3, and produced by 'Searchlight Pictures'.","INSERT INTO Movies (title, release_year, director_id, studio) VALUES ('The Next Big Thing 76', 1985, 3, 'Searchlight Pictures');"
Add a review for movie ID 9 from user ID 1528 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (9, 1528, 8, 'A compelling story! 1995');"
Add a review for movie ID 626 from user ID 4267 with a rating of 2.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (626, 4267, 2, 'A compelling story! 2011');"
Add a review for movie ID 506 from user ID 4996 with a rating of 8.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (506, 4996, 8, 'A compelling story! 1998');"
Add a review for movie ID 48 from user ID 2142 with a rating of 3.,"INSERT INTO Reviews (movie_id, user_id, rating, review_text) VALUES (48, 2142, 3, 'A compelling story! 1994');"
